city,date,Qair,Tair,Wind,lat,lon,n_obs
Ahmedabad,2015-01-01,0.010113,293.148870,3.495564,23.000000,72.500000,48
Ahmedabad,2015-01-02,0.010708,293.514321,2.823772,23.000000,72.500000,48
Ahmedabad,2015-01-03,0.010798,292.551786,2.220237,23.000000,72.500000,48
Ahmedabad,2015-01-04,0.009334,293.067341,3.160383,23.000000,72.500000,48
Ahmedabad,2015-01-05,0.007925,291.934599,2.707201,23.000000,72.500000,48
Ahmedabad,2015-01-06,0.008360,292.430909,1.970759,23.000000,72.500000,48
Ahmedabad,2015-01-07,0.009596,292.887896,1.885518,23.000000,72.500000,48
Ahmedabad,2015-01-08,0.008878,293.734527,2.025080,23.000000,72.500000,48
Ahmedabad,2015-01-09,0.008271,293.570708,2.256494,23.000000,72.500000,48
Ahmedabad,2015-01-10,0.008470,293.410047,2.015430,23.000000,72.500000,48
Ahmedabad,2015-01-11,0.008399,293.353138,2.058765,23.000000,72.500000,48
Ahmedabad,2015-01-12,0.009155,293.487815,1.797763,23.000000,72.500000,48
Ahmedabad,2015-01-13,0.008908,293.737676,1.536941,23.000000,72.500000,48
Ahmedabad,2015-01-14,0.011202,293.472736,2.243264,23.000000,72.500000,48
Ahmedabad,2015-01-15,0.008204,293.129288,3.206578,23.000000,72.500000,48
Ahmedabad,2015-01-16,0.008444,292.478774,2.790930,23.000000,72.500000,48
Ahmedabad,2015-01-17,0.007707,291.821393,2.758065,23.000000,72.500000,48
Ahmedabad,2015-01-18,0.007454,291.367459,2.513988,23.000000,72.500000,48
Ahmedabad,2015-01-19,0.007984,293.277691,2.876436,23.000000,72.500000,48
Ahmedabad,2015-01-20,0.009239,294.442221,2.739222,23.000000,72.500000,48
Ahmedabad,2015-01-21,0.011861,295.005973,1.176143,23.000000,72.500000,48
Ahmedabad,2015-01-22,0.009880,293.740639,2.153122,23.000000,72.500000,48
Ahmedabad,2015-01-23,0.008648,292.719741,2.453732,23.000000,72.500000,48
Ahmedabad,2015-01-24,0.009836,292.983106,2.946212,23.000000,72.500000,48
Ahmedabad,2015-01-25,0.009044,292.691450,2.737846,23.000000,72.500000,48
Ahmedabad,2015-01-26,0.008552,291.987460,2.550543,23.000000,72.500000,48
Ahmedabad,2015-01-27,0.007282,291.011076,3.090049,23.000000,72.500000,48
Ahmedabad,2015-01-28,0.006366,290.431583,3.180990,23.000000,72.500000,48
Ahmedabad,2015-01-29,0.006835,291.264770,2.862640,23.000000,72.500000,48
Ahmedabad,2015-01-30,0.007019,292.525065,3.110321,23.000000,72.500000,48
Ahmedabad,2015-01-31,0.007923,293.169754,2.307278,23.000000,72.500000,48
Ahmedabad,2015-02-01,0.008855,294.836531,1.779629,23.000000,72.500000,48
Ahmedabad,2015-02-02,0.010954,295.133248,1.643461,23.000000,72.500000,48
Ahmedabad,2015-02-03,0.010468,295.088567,2.437456,23.000000,72.500000,48
Ahmedabad,2015-02-04,0.008239,295.070651,3.651128,23.000000,72.500000,48
Ahmedabad,2015-02-05,0.008925,294.987692,2.654496,23.000000,72.500000,48
Ahmedabad,2015-02-06,0.009021,296.177950,2.380953,23.000000,72.500000,48
Ahmedabad,2015-02-07,0.007499,295.450087,2.191198,23.000000,72.500000,48
Ahmedabad,2015-02-08,0.007538,294.682472,2.447020,23.000000,72.500000,48
Ahmedabad,2015-02-09,0.008658,295.194826,3.122874,23.000000,72.500000,48
Ahmedabad,2015-02-10,0.009538,296.209682,3.434930,23.000000,72.500000,48
Ahmedabad,2015-02-11,0.008666,295.899716,2.586501,23.000000,72.500000,48
Ahmedabad,2015-02-12,0.007467,295.301081,2.600655,23.000000,72.500000,48
Ahmedabad,2015-02-13,0.007647,296.296553,1.743028,23.000000,72.500000,48
Ahmedabad,2015-02-14,0.009768,297.186223,2.066776,23.000000,72.500000,48
Ahmedabad,2015-02-15,0.012111,297.675660,1.759495,23.000000,72.500000,48
Ahmedabad,2015-02-16,0.010178,298.087763,2.358819,23.000000,72.500000,48
Ahmedabad,2015-02-17,0.011916,298.282751,2.652567,23.000000,72.500000,48
Ahmedabad,2015-02-18,0.012160,299.048085,1.623296,23.000000,72.500000,48
Ahmedabad,2015-02-19,0.011370,298.620268,2.193038,23.000000,72.500000,48
Ahmedabad,2015-02-20,0.011468,298.483019,1.485326,23.000000,72.500000,48
Ahmedabad,2015-02-21,0.010797,299.660494,1.881752,23.000000,72.500000,48
Ahmedabad,2015-02-22,0.010831,300.599581,1.735338,23.000000,72.500000,48
Ahmedabad,2015-02-23,0.010768,301.241027,1.611453,23.000000,72.500000,48
Ahmedabad,2015-02-24,0.011069,300.284713,2.653618,23.000000,72.500000,48
Ahmedabad,2015-02-25,0.008598,296.724127,2.824344,23.000000,72.500000,48
Ahmedabad,2015-02-26,0.006022,294.529392,2.576416,23.000000,72.500000,48
Ahmedabad,2015-02-27,0.006929,295.362074,1.632513,23.000000,72.500000,48
